,min,max,mean,std
t2m,228.86643981933594,323.788330078125,287.8799743652344,11.031888961791992
msl,95298.5625,106034.25,101682.625,697.6648559570312
u10,-32.95143127441406,31.693817138671875,0.49427881836891174,3.694875717163086
v10,-35.300079345703125,32.98944091796875,-0.1743582934141159,4.133724212646484
d2m,225.18215942382812,303.47265625,281.39453125,11.084643363952637
sp,64809.23828125,105344.1875,96707.34375,7000.9111328125
tp,0.0,0.03883075714111328,0.0001069659338099882,0.00046636516344733536
